"","taxon","site","slope","inter","pval","trend","samples","sum.taxon"
"1","Hemerodromiinae","07SFS011059",0.10231361645898,-206.105969337263,0.655172700700997,"none",6,6
"2","Hemerodromiinae","07SFS011475",-1.26746449549947,2555.82114843448,0.141396352366645,"none",3,3
"3","Hemerodromiinae","08BEA3312",0.165249500707996,-330.928943306858,0.179989873686822,"none",14,14
"4","Hemerodromiinae","08BEA3321",-0.0928924591608214,188.365151830814,0.528374040357502,"none",8,8
"5","Hemerodromiinae","08BEA3474",0.265326061206988,-532.619884207644,0.0672727939056632,"none",13,13
"6","Hemerodromiinae","08BEA3478",1.58798476273285e-10,24.5660693901038,0.999999999999988,"none",11,11
"7","Hemerodromiinae","08BEA3571",-0.142381029503429,285.830125138639,0.110975915554265,"none",7,7
"8","Hemerodromiinae","08BEA3650",-0.0327333515991061,67.0106314329966,0.70417006161445,"none",15,15
"9","Hemerodromiinae","08BEA3737",0.00271034637957337,-4.42481719498897,0.974786674116246,"none",14,14
"10","Hemerodromiinae","08BEA3747",-0.0890634124384139,181.174158256295,0.417039183236997,"none",18,18
"11","Hemerodromiinae","08BEA3826",-0.501880167680062,1013.85138464826,0.0942264055136808,"none",15,15
"12","Hemerodromiinae","08CED2433",-0.222877332731947,450.998311953243,0.173332642354409,"none",15,15
"13","Hemerodromiinae","08CED2518",0.0545654959762243,-107.837345134199,0.81472870554573,"none",9,9
"14","Hemerodromiinae","08CED2711",-0.0958431400633284,191.847398744883,0.435164834662693,"none",3,3
"15","Hemerodromiinae","08CED2898",-0.247853893146352,499.218073976086,0.0861182992669824,"none",6,6
"16","Hemerodromiinae","08CED4192",-0.0886184835397974,177.86047251054,0.250932500882422,"none",8,8
"17","Hemerodromiinae","08CED4975",-0.0380874834242287,76.615586348252,0.698579012886403,"none",7,7
"18","Hemerodromiinae","08CED5032",0.0549190199022707,-111.819946058825,0.570542770104585,"none",4,4
"19","Hemerodromiinae","08CED5046",-42.0520083591646,84461.59014034,0.998941347622321,"none",2,2
"20","Hemerodromiinae","08EAS1536",-0.00910200063221543,17.2407822934819,0.93412437877538,"none",4,4
"21","Hemerodromiinae","08EAS1964",-2.10875494385349e-11,25.566069290679,0.999999999999998,"none",16,16
"22","Hemerodromiinae","08EAS2058",-6.57622690593037e-10,25.5660705769329,0.999999999999934,"none",18,18
"23","Hemerodromiinae","08EAS2191",-0.19068704795772,382.337021912654,0.0789265463291224,"none",5,5
"24","Hemerodromiinae","08EAS2272",0.286248803021913,-578.447689965851,0.0753243694725164,"none",4,4
"25","Hemerodromiinae","08EAS2446",0.118256090057838,-238.929833690525,0.213143413124584,"none",6,6
"26","Hemerodromiinae","08EAS2540",-0.325112530838416,654.97239009971,0.104011033807803,"none",5,5
"27","Hemerodromiinae","08EAS2546",0.00794882212035089,-16.3190525290572,0.941946576384702,"none",5,5
"28","Hemerodromiinae","08EAS2631",-0.096488436019063,194.262754363186,0.225205676839163,"none",10,10
